id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category
HOA-APPLE-500ML,Apple Ammonia-Free Black Hair Cream (500ml + 500ml Jumbo Value Pack),"Pure herbal formulation from Dubai. 100% grey hair coverage with zero scalp irritation, clear water formula (no skin stains), and 96 hours diamond shine.",in stock,new,2499 PKR,https://thehouseofaura.online/?product=apple#apple-hair-cream,https://thehouseofaura.online/images/apple_hair_cream_offer_2499.jpg,The House of Aura,Health & Beauty > Personal Care > Hair Care > Hair Color,health & beauty > hair care
HOA-APPLE-DUO-PACK,Apple Ammonia-Free Hair Cream (Pack of 2 Duo Deal - 1000ml+1000ml),"Special Duo Pack Deal. Includes 2 complete boxes with 4 pouches total. Zero towel stains, ammonia-free, 96 hours shine.",in stock,new,4500 PKR,https://thehouseofaura.online/?deal=duo#apple-hair-cream,https://thehouseofaura.online/images/apple_hair_box_with_pouches_official.jpg,The House of Aura,Health & Beauty > Personal Care > Hair Care > Hair Color,health & beauty > hair care
HOA-COSMO-1000ML,COSMO Keratin & Argan Anti-Hair Fall Shampoo (1000ml Jumbo Salon Size),Imported from UAE. Enriched with hydrolyzed keratin protein and pure Moroccan argan oil. 100% Sulfate & Paraben Free.,in stock,new,1970 PKR,https://thehouseofaura.online/?product=cosmo#cosmo-shampoo,https://thehouseofaura.online/images/cosmo_keratin_daraz_showcase.jpg,COSMO Hair Naturals,Health & Beauty > Personal Care > Hair Care > Shampoo,health & beauty > hair care
HOA-COSMO-DUO-PACK,COSMO Keratin Shampoo (Pack of 2 Mega Deal - 2000ml Total),"Mega Pack of 2 Deal. Two 1000ml Jumbo salon pump dispenser bottles. Anti-hair fall, keratin repair, straight & shiny hair.",in stock,new,3000 PKR,https://thehouseofaura.online/?deal=cosmo-duo#cosmo-shampoo,https://thehouseofaura.online/images/cosmo_keratin_daraz_showcase.jpg,COSMO Hair Naturals,Health & Beauty > Personal Care > Hair Care > Shampoo,health & beauty > hair care
HOA-BAKHOOR-SINGLE,Hamidi Royal Arabian Bakhoor (Airtight Crystal & Gold Jar),"Authentic Emirati Agarwood soaked in rare floral attars, ambergris and Taif rose. 48+ hours lingering palace aroma.",in stock,new,1799 PKR,https://thehouseofaura.online/?product=bakhoor#bakhoor-hamidi,https://thehouseofaura.online/images/bakhoor_black_oud_offer_1799.jpg,Hamidi Dubai,Home & Garden > Decor > Home Fragrances > Incense,home & garden > home decor > home fragrances
HOA-BAKHOOR-DUO,Hamidi Royal Arabian Bakhoor (Pack of 2 Deal - 2 Jars),"Special Pack of 2 Deal. Choose any 2 authentic Arabian scents from Hamidi Dubai for Rs. 2,999 (Save Rs. 599).",in stock,new,2999 PKR,https://thehouseofaura.online/?deal=duo#bakhoor-hamidi,https://thehouseofaura.online/images/bakhoor_black_oud_offer_1799.jpg,Hamidi Dubai,Home & Garden > Decor > Home Fragrances > Incense,home & garden > home decor > home fragrances
HOA-BAKHOOR-TRIO,Hamidi Royal Arabian Bakhoor (Pack of 3 Deal - 3 Jars),"Special Pack of 3 Deal. Choose any 3 authentic Arabian fragrance jars for Rs. 4,000 (Save Rs. 1,397).",in stock,new,4000 PKR,https://thehouseofaura.online/?deal=trio#bakhoor-hamidi,https://thehouseofaura.online/images/bakhoor_bayt_al_oud_offer_1799.jpg,Hamidi Dubai,Home & Garden > Decor > Home Fragrances > Incense,home & garden > home decor > home fragrances
HOA-BAKHOOR-8SET,Hamidi Royal Bakhoor Complete 8-Piece Heritage Vault with Mabkhara,The complete 8-piece royal luxury fragrance collection in presentation tray. Includes all 8 signature Dubai scents.,in stock,new,7499 PKR,https://thehouseofaura.online/?deal=set8#bakhoor-hamidi,https://thehouseofaura.online/images/bakhoor_8set_art_of_scent.jpg,The House of Aura,Home & Garden > Decor > Home Fragrances > Incense,home & garden > home decor > home fragrances
HOA-DEXE-400ML,Dexe Black Hair Color Shampoo (400ml Jumbo Pump Dispenser),Instant 5-minute natural black color shampoo. Herbal ginseng and argan oil formula. 100% ammonia free.,in stock,new,2099 PKR,https://thehouseofaura.online/?product=dexe#dexe-shampoo,https://thehouseofaura.online/images/dexe_hair_shampoo_offer_2099.jpg,Dexe Salon Professional,Health & Beauty > Personal Care > Hair Care > Hair Color,health & beauty > hair care
HOA-DEXE-DUO-PACK,Dexe Black Hair Color Shampoo (Pack of 2 Deal - 800ml Total),Duo pack deal for Dexe 5-Minute instant black hair shampoo. Includes two 400ml pump bottles.,in stock,new,3800 PKR,https://thehouseofaura.online/?deal=dexe-duo#dexe-shampoo,https://thehouseofaura.online/images/dexe_hair_shampoo_offer_2099.jpg,Dexe Salon Professional,Health & Beauty > Personal Care > Hair Care > Hair Color,health & beauty > hair care
